#Mandatory field,,,,,,
,#AP Name,"The name can only contain between 2 and 32 characters. Only the following characters are allowed: 'a-z', 'A-Z', '0-9', space and other special characters (!""#$%'()*+,-./:;<=>?@[]^_{|}~) except &,` or $(",,,,
,#Serial Number,"It must be a 12-digit number, cannot start with 0, and should contain only numbers. ",,,,
#Optional field,,,,,,
,# Description,The maximal length is 180 characters,,,,
,# AP Group,It must match an existing AP group,,,,
,# Tags,Separating by semicolon ';',,,,
,# Latitude,"Between -90 and 90, and contains a maximum of 6-digit decimal",,,,
,# Longitude,"Between -180 and 180, and contains a maximum of 6-digit decimal",,,,
,,,,,,
AP Name,Serial Number,Description,AP Group,Tags,Latitude,Longitude
